route_id,num_stops,amazon_cost_min,dijkstra_cost_min,diff_min,savings_pct
RouteID_03206eae-8985-4dac-b5f9-0db4a09005d0,173,203.46,217.65,-14.19,-6.97
RouteID_03256465-637e-4330-a753-9e86d50e976e,158,166.6,142.05,24.55,14.74
RouteID_0328be74-9bac-4307-90f7-79eece245f6a,142,211.81,230.76,-18.95,-8.94
RouteID_032ba4dc-3d0b-4cb1-bed6-3470874714f3,74,76.69,81.03,-4.34,-5.66
RouteID_032be887-07f5-4105-b510-dfef08923bc6,135,155.56,158.83,-3.27,-2.1
RouteID_032d60c8-a403-4032-affa-a2e5598431d7,151,209.25,220.31,-11.07,-5.29
RouteID_0331580a-3797-418d-b347-61cc4547235e,123,221.55,214.49,7.05,3.18
RouteID_033dd66b-707f-437b-86a4-4f295bf2e557,190,213.57,200.63,12.94,6.06
RouteID_033ffe13-fab3-47d7-a863-9264aa452156,189,265.5,289.65,-24.15,-9.09
RouteID_034710a2-7b5e-4c2d-a0bf-89cf9fb584ee,151,158.99,158.07,0.92,0.58
RouteID_0385422e-f9bf-4825-a3fb-777ef3e24e28,174,180.04,190.97,-10.92,-6.07
RouteID_038cdc3f-7fc5-4f4d-854f-84935065df5d,189,169.88,173.73,-3.85,-2.27
RouteID_038fd948-9740-446a-b3ee-6f2b0f4ce1b1,196,182.43,191.76,-9.34,-5.12
RouteID_03939724-efdf-4543-aa72-4aa962860d98,103,97.27,101.34,-4.08,-4.19
RouteID_03993849-06f7-4c5c-95d5-a2f70fb796cf,152,190.1,214.47,-24.37,-12.82
RouteID_039de5c0-5128-49cc-a04f-e712baef445a,107,125.87,119.52,6.35,5.04
RouteID_039e2075-2a3b-44d7-8662-0a60043e278f,189,225.09,222.49,2.59,1.15
RouteID_03a1169d-dddc-4c42-be27-96daf0ac5444,175,260.32,283.95,-23.63,-9.08
RouteID_03a85c45-30f2-401f-ac53-0f0fdfacd6c5,156,162.32,153.14,9.18,5.66
RouteID_03b1783a-a994-4719-bcca-253709fd8b21,129,125.14,123.55,1.59,1.27
RouteID_03b34f91-9374-40a1-a9f6-b7401c8fa544,151,169.82,163.59,6.23,3.67
RouteID_03b80f56-768d-4ecd-95ac-1a32c4e04127,148,187.64,175.62,12.02,6.4
RouteID_03babb1c-6f77-4481-bf80-80fcf1a69ab1,82,128.67,124.17,4.51,3.5
RouteID_03d55a14-2a10-4328-956b-428cee2ac6fe,82,107.76,95.47,12.3,11.41
RouteID_03d7f558-cb0d-4324-b66a-fac0a866369b,156,193.83,202.27,-8.44,-4.35
RouteID_03e1d5e3-47f9-4bd8-becf-f88aa269f0e3,149,186.66,195.55,-8.89,-4.76
RouteID_03efbb24-bf37-4717-8969-986e97ae2a96,173,174.46,177.1,-2.64,-1.51
RouteID_03f9d959-6c94-4fe0-9957-df684d08c637,186,218.95,240.31,-21.36,-9.76
RouteID_040c97f6-c0e1-4c8c-af0b-0c3c6ca9064c,178,167.11,176.22,-9.11,-5.45
RouteID_0410429c-1ddd-4554-9761-27dcab7c1f18,135,203.85,204.86,-1.01,-0.5
RouteID_04189f85-13a6-47b8-a78e-ec5688be0819,38,66.36,63.09,3.27,4.92
RouteID_041cfbe9-363a-4a9f-a372-c487ca78b385,181,216.75,232.9,-16.15,-7.45
RouteID_0446eb68-1fe0-40f3-b82e-2cbddd0433d3,169,196.54,206.67,-10.12,-5.15
RouteID_04662c65-ed3a-4366-a32b-6f4b93b17c0a,85,92.34,82.9,9.45,10.23
RouteID_047615ff-801a-4a1d-a302-00bdc0a920b8,160,201.0,209.57,-8.57,-4.27
RouteID_04900acf-0ede-4f77-930b-d10860c0c39f,161,200.0,205.19,-5.2,-2.6
RouteID_04982ba3-19ee-4a8e-86f4-942a3ad2c4de,156,208.56,221.97,-13.41,-6.43
RouteID_04a6f36d-da01-4975-b7bf-8b22c2b7b2ca,185,241.52,235.26,6.26,2.59
RouteID_04b498c7-f124-4da5-bbb1-ef7a25950572,121,168.78,160.88,7.9,4.68
RouteID_0504bcca-4f12-40a8-8a77-bb91b13029c4,162,175.64,188.31,-12.67,-7.21
RouteID_0509f10a-e45c-40d4-b544-bf69817833f6,155,171.21,185.99,-14.79,-8.64
RouteID_0516c035-87a6-414a-a031-d8cab8ae8a0a,82,105.99,118.8,-12.81,-12.08
RouteID_051985ac-ac65-4e53-b319-07a6027bc494,149,195.6,199.59,-4.0,-2.04
RouteID_051bd9d6-2c14-4de6-8054-95dc01a866cc,118,178.57,190.36,-11.79,-6.6
RouteID_05238a07-a932-45a8-b035-4705b7eddba9,195,207.6,219.53,-11.93,-5.75
RouteID_0529a9e1-03b7-43e3-bb88-496a3f05ff54,132,128.72,128.65,0.07,0.05
RouteID_0531038c-5b2c-47bd-b686-5ad3673c5006,148,155.27,150.45,4.82,3.1
RouteID_0538a21d-d3cf-4696-80f0-b9366efb7378,144,198.62,194.56,4.06,2.04
RouteID_05440a6b-e13d-4e8d-8c45-5b2f470d049c,187,220.6,244.67,-24.07,-10.91
RouteID_054d3be0-af05-49f0-92a8-6ded9f491a6c,160,227.76,241.3,-13.54,-5.94
RouteID_0550db65-9164-4c76-909b-150a134b864e,69,98.13,87.54,10.59,10.79
RouteID_0558631c-8b2e-438d-bf00-aff5b5cee2ac,96,109.54,108.73,0.81,0.74
RouteID_0573f455-e78c-40e6-9cdf-8c1d7fb71693,145,229.38,244.41,-15.02,-6.55
RouteID_0578a1cd-4dbf-41cf-81c2-75370082b2b8,165,219.66,246.64,-26.98,-12.28
RouteID_05876081-1918-417c-8761-6819a18c3554,174,210.58,215.7,-5.13,-2.43
RouteID_0590605b-45b8-48ce-9f4d-9b303bd8a8ea,127,148.46,154.86,-6.41,-4.31
RouteID_0591bc80-9e1c-4697-b63e-08996a3b2a9c,159,146.62,154.97,-8.35,-5.69
RouteID_0593628d-3c37-4303-8238-4fd25bd4eaa3,120,153.53,163.36,-9.83,-6.4
RouteID_05b245a8-7104-4fb5-af98-5c645a5e6e68,162,235.72,235.13,0.58,0.25
RouteID_05b28743-9d92-4c51-8803-e319ee2e3f94,111,140.51,135.13,5.38,3.83
RouteID_05d1a771-aa16-43b6-ab00-9ad7161d5617,164,179.96,203.48,-23.52,-13.07
RouteID_05e4c305-d304-4653-bbfa-36ae2119bf23,98,99.17,99.61,-0.44,-0.44
RouteID_05eb1621-49f2-493d-8e29-6a7190eb64be,161,189.35,190.58,-1.23,-0.65
RouteID_05ef4a8e-61a0-4709-ac5b-fa9759c218dc,144,184.95,183.42,1.54,0.83
RouteID_05fba5e1-c96b-42af-ab1a-393d3cb31338,105,97.17,90.16,7.01,7.22
RouteID_0604e284-6fc9-4d02-965c-472b1c7b3826,164,207.69,207.88,-0.19,-0.09
RouteID_0607080b-022c-4096-bff4-2a2809f9d4a5,174,207.27,207.08,0.18,0.09
RouteID_0628ec83-f3d0-4e93-9c86-d140dcb65267,111,179.69,187.89,-8.2,-4.57
RouteID_06322566-a969-4666-ae13-a1b256e46aa3,162,184.1,188.01,-3.91,-2.12
RouteID_064061c8-4f31-4d39-a003-8fa23345817e,104,77.07,80.13,-3.07,-3.98
RouteID_064180eb-4713-47f8-af04-87d9e99fede4,150,185.66,194.03,-8.37,-4.51
RouteID_06484cf1-d5b8-4092-831d-d2fedc88ebcd,169,201.41,210.95,-9.53,-4.73
RouteID_065608cf-b6b6-4013-9658-0885b6b92593,176,213.63,225.49,-11.86,-5.55
RouteID_0666b507-bd81-493b-be89-944271456bac,107,129.19,133.2,-4.02,-3.11
RouteID_0667e50a-f809-426b-8f9d-303300efcc49,83,83.81,75.51,8.31,9.91
RouteID_066b5b0f-1922-47ac-8c73-ea5eabaa9f30,139,157.34,156.59,0.75,0.48
RouteID_0670d3ac-1ad6-4d1a-8f91-07d7b3077b5e,163,229.11,253.1,-23.99,-10.47
RouteID_06751fe1-263c-441a-b482-f7c5d8295c39,98,103.31,93.77,9.54,9.23
RouteID_067726e3-8843-46ad-8e2e-9c44d80d6d0f,130,185.49,192.92,-7.43,-4.01
RouteID_067b96da-0f4a-4877-b77d-4a08ce3eb699,166,181.92,183.38,-1.46,-0.8
RouteID_06ae0a7c-9599-4f68-b276-b6b5966c7b3c,96,118.05,119.25,-1.2,-1.01
RouteID_06b71b27-e83e-4e26-9e9d-6ce353ebbee5,176,221.48,234.94,-13.46,-6.08
RouteID_06c22e7d-6964-48e4-a3a7-009b56c26741,142,183.21,195.07,-11.86,-6.48
RouteID_06c23b69-370a-4a37-a941-8a3e177b1914,222,234.77,270.96,-36.18,-15.41
RouteID_06c7560e-5337-4330-9165-79e56801600c,159,236.31,255.39,-19.08,-8.07
RouteID_06d466f0-2429-4f06-9326-ac1427f2aa64,132,175.97,165.56,10.42,5.92
RouteID_06edc4cc-ea48-41bd-9a4f-81b78d82a479,170,240.88,254.8,-13.92,-5.78
RouteID_06fdf161-11e8-431f-9999-74b1ebc45e3b,144,204.35,215.8,-11.44,-5.6
RouteID_070b05b1-6cfc-4792-9817-b560e91d2584,121,116.74,108.22,8.52,7.3
RouteID_072e6491-e89f-4574-9edc-2447f558cfc7,196,246.32,252.52,-6.19,-2.52
RouteID_07563131-f0bb-4982-b1cf-4dc9a7b1876f,134,171.47,178.13,-6.65,-3.88
RouteID_0758e446-a472-4fdb-86bc-3bbf11f19143,149,179.03,175.26,3.77,2.11
RouteID_07640d94-d311-4121-b3fb-428b108a0df2,195,208.23,213.51,-5.28,-2.54
RouteID_0768e1ca-0763-41e6-815d-4127cf140751,169,162.95,173.99,-11.04,-6.78
RouteID_076973fd-9546-45a5-838a-0aa166a917b7,169,191.74,202.15,-10.41,-5.43
RouteID_076b21cf-9d76-4d57-9859-cf3fb783533f,174,210.64,222.53,-11.89,-5.64
RouteID_07706847-a419-4475-b4f0-065f620892d7,196,214.63,228.39,-13.76,-6.41
RouteID_0779b723-1953-4d57-abce-9bb4ae08e327,46,74.04,61.11,12.94,17.47
RouteID_077c0404-88b2-4abd-af5e-588f986b49a5,151,128.07,124.1,3.97,3.1
RouteID_0790e302-3975-4df2-b413-39851f69ae3f,169,247.15,256.68,-9.53,-3.86
RouteID_07933b35-6c8f-4053-960a-2c7dc87bafa6,168,146.83,152.97,-6.14,-4.18
RouteID_07957d30-aa6d-4214-8014-dc224d1178d4,123,165.31,164.75,0.56,0.34
RouteID_0795a4c6-157b-4c24-946e-7e07d04c7df7,154,188.84,217.61,-28.77,-15.23
RouteID_079d4ab4-c868-48f9-a06d-f154992deefa,100,107.44,97.75,9.69,9.02
RouteID_07b4cf8f-c1d7-4c14-8983-7fe6fa582d86,175,230.59,220.7,9.89,4.29
RouteID_07ba8c18-25e0-4314-b7df-3916b1ad2f02,156,201.29,204.89,-3.61,-1.79
RouteID_07cb4afc-be0e-4f46-afe0-aa81d527c40d,138,173.07,186.21,-13.13,-7.59
RouteID_07cfee03-e540-4384-8394-32bc37f25bff,115,137.06,136.65,0.41,0.3
RouteID_07d46ee6-2edc-4d6b-be85-751d2496aaa1,189,184.48,212.63,-28.15,-15.26
RouteID_07d56536-0262-446f-a671-9d14be955be4,131,173.97,176.85,-2.88,-1.65
RouteID_07dd133b-23f7-4a97-8882-d97ed2c0058d,140,191.59,189.94,1.65,0.86
RouteID_07e31b9c-198c-4a2d-aee8-9c5dab86b782,67,110.68,116.45,-5.77,-5.21
RouteID_0809e036-d621-4169-a08b-8d4b78aa41ca,162,223.59,195.63,27.96,12.51
RouteID_080b86e3-05b0-47d7-9b6a-402f98564460,143,166.05,182.68,-16.63,-10.02
RouteID_0812f2e0-9345-4952-9996-984fc1513006,133,159.13,168.93,-9.8,-6.16
RouteID_0814e8d7-b1fe-4d7c-a3b5-8c9fe9925136,186,171.94,189.14,-17.2,-10.0
RouteID_081b5f83-db73-4642-a274-76d4dd7a8c32,205,270.43,277.14,-6.71,-2.48
RouteID_082285e1-3890-486f-b252-1adc253a2799,178,194.77,194.0,0.77,0.39
RouteID_083b2a55-7d70-4113-a375-dbfc50dc86da,196,230.66,230.55,0.11,0.05
RouteID_08424eaf-ced6-4025-938e-0e7f25fb9f13,96,130.42,126.38,4.04,3.1
RouteID_084af699-0d58-4db1-84c8-bc0073e439fb,146,248.34,273.72,-25.37,-10.22
RouteID_085ed7bf-c737-4dea-9b99-ce3fbc274bdc,145,201.05,190.38,10.67,5.31
RouteID_0861441a-2da3-42cb-a2a3-cea549ad520e,154,183.57,192.87,-9.31,-5.07
RouteID_086a4378-ed4d-44fe-a1d6-666bc0eec804,161,195.98,197.37,-1.39,-0.71
RouteID_087636e9-8cd9-4bb4-b9c8-957b843bbca2,161,237.36,253.2,-15.84,-6.67
RouteID_087e7f16-0b04-4a0a-9799-1302a8312186,124,133.24,130.84,2.4,1.8
RouteID_0882ddec-59ed-4b24-8f20-ae86af26a6aa,149,124.7,124.41,0.29,0.23
RouteID_0884dbd3-a368-499d-a5b4-e4d6954528ec,120,197.09,207.99,-10.9,-5.53
RouteID_088b3069-d09e-4bc4-a540-46ca0feec1fd,166,187.12,191.93,-4.81,-2.57
RouteID_088cbe58-2832-41bc-a89a-7de4016208cd,124,175.87,183.1,-7.23,-4.11
RouteID_08922e5e-3107-46d2-aaff-5cf6b063a635,175,178.21,176.01,2.2,1.24
RouteID_08a2125e-f7d0-420e-8d09-7957c94d2802,125,188.21,189.07,-0.86,-0.46
RouteID_08a53481-3de6-4688-ab69-b88fc2cc1d9c,98,135.42,137.98,-2.55,-1.89
RouteID_08ad4b2e-786d-4f2b-a965-9d85aef3ef49,188,152.49,143.89,8.6,5.64
RouteID_08b5ef59-25b8-4b41-b385-9e4f9b8b01a9,139,202.49,202.01,0.47,0.23
RouteID_08d62dfb-b7a1-4248-ae10-3c101e8191b3,146,174.33,180.77,-6.44,-3.69
RouteID_08d72635-761a-4081-ac80-ed356a036095,169,188.39,196.11,-7.72,-4.1
RouteID_08d77c2d-b0ce-4658-94c1-712451e916b8,169,157.55,163.7,-6.14,-3.9
RouteID_08dca96c-c0a7-4397-b1a5-ba96aa17873b,204,193.18,219.14,-25.96,-13.44
RouteID_08dded4c-ab6e-49d7-b202-fd997e444532,157,165.31,177.72,-12.41,-7.51
RouteID_08e9fee8-f7e5-42a0-a100-04099a4be6e5,84,115.44,107.63,7.8,6.76
RouteID_08eca476-373b-4d96-878d-2dbee9ad5c2c,117,165.76,160.72,5.04,3.04
RouteID_08ed55fa-db09-4f94-bd8c-5d403a90416e,157,217.69,209.17,8.52,3.91
RouteID_08fecdf4-4f01-49c6-bd22-c9402d21d90a,160,180.53,186.22,-5.69,-3.15
RouteID_090b26d7-b319-4ebf-a4d1-20db1031a6e0,160,147.16,150.27,-3.11,-2.11
RouteID_0921cebf-49ed-4e14-a8ad-89e6be212d11,127,140.91,145.23,-4.32,-3.06
RouteID_092c229e-9d6e-468b-accd-0372d87a181c,194,246.61,255.83,-9.22,-3.74
RouteID_09337e68-6b35-469d-84af-a1011685982f,162,186.96,195.9,-8.93,-4.78
RouteID_09384cd9-a77d-4655-9b67-20847719a230,171,191.43,205.01,-13.58,-7.1
RouteID_093afb7b-78c3-4350-a498-a84909ad4897,171,173.9,188.33,-14.43,-8.3
RouteID_096d768f-4473-49c1-966a-29bf3d2fe3a9,145,163.99,180.39,-16.4,-10.0
RouteID_09707b5d-9a50-4f13-aa7e-db13fcc6bb95,170,208.13,217.92,-9.79,-4.71
RouteID_0970c11e-3bfa-4ddb-b4eb-7eab71b44d0d,153,213.26,230.49,-17.24,-8.08
RouteID_0978feb1-735b-43b3-a092-a97936d7c509,135,143.89,155.03,-11.14,-7.75
RouteID_098b1a3e-859b-436a-b116-5357677706b1,135,129.39,130.73,-1.34,-1.04
RouteID_09a5440f-82cb-4b2a-a612-276cb58573a1,175,206.82,208.0,-1.18,-0.57
RouteID_09a9a44d-e007-42de-9437-31b5fd392648,90,104.25,119.51,-15.26,-14.64
RouteID_09c1a521-4deb-4c34-84f1-3cccd4a1c037,130,146.96,147.78,-0.82,-0.56
RouteID_09c35c1a-aa78-4e28-94b7-3bba972a9d9d,192,210.95,215.2,-4.25,-2.02
RouteID_09c666c7-6279-416f-ad47-14ef43dfa174,145,190.35,203.86,-13.51,-7.1
RouteID_09c6d5be-68a5-4af5-91f4-4fb13a10faf5,153,225.83,237.43,-11.6,-5.14
RouteID_09cbff70-3e09-4f9d-825e-3148b3930a4c,118,161.58,170.69,-9.11,-5.64
RouteID_09d597c9-ae5c-4fe8-8379-710bf99f3184,174,183.86,203.54,-19.68,-10.7
RouteID_09da300f-98c7-4f1b-80f2-8d0761360d25,166,195.02,196.96,-1.94,-1.0
RouteID_09e7344a-c5e3-453b-a18e-a0534a75344b,176,183.29,202.71,-19.42,-10.59
RouteID_09eb81d9-48bc-45ba-8913-298181131e3b,138,189.76,202.77,-13.01,-6.85
RouteID_09f5fbc8-1326-45b0-a20a-fc2c432dfb0f,151,214.89,220.68,-5.8,-2.7
RouteID_09f8106a-2b7f-41f7-b995-1868813d1b82,175,213.83,218.13,-4.3,-2.01
RouteID_09ff2f98-260f-419f-a3f1-fb593380fd4c,134,166.05,168.68,-2.64,-1.59
RouteID_0a0029bf-3e93-491f-843c-f889a83f2bfb,84,101.91,110.23,-8.32,-8.16
RouteID_0a05762c-a2aa-4875-8d6e-04d5b35336fe,151,159.52,183.44,-23.92,-14.99
RouteID_0a087ce2-2896-45cf-ab24-0a3c8be98387,182,179.08,183.65,-4.57,-2.55
RouteID_0a1a1cfe-a5da-4463-b3ac-f2bb3a01718f,80,78.11,77.89,0.22,0.28
RouteID_0a28a1a5-62bd-4e5c-b2a2-bfc16713e9d1,105,191.81,176.82,14.99,7.82
RouteID_0a2ed99e-580f-4e6e-a168-67a5359f3fa1,155,220.72,220.77,-0.05,-0.02
RouteID_0a426a82-2c44-4a74-845d-3311c935f4c5,167,186.81,189.52,-2.71,-1.45
RouteID_0a76f445-7219-4159-b82a-0194ab1bdc91,124,134.31,118.29,16.02,11.93
RouteID_0a7c11fe-c561-4293-85bb-c44c9bcfb12d,171,259.23,239.35,19.88,7.67
RouteID_0a8650ca-77d1-459b-a8dd-da8442bbf1cf,143,155.58,156.07,-0.49,-0.31
RouteID_0a9df7e1-6ddc-4173-808f-5e1a97b18027,150,167.12,178.74,-11.62,-6.95
RouteID_0aa7e7aa-97d6-4614-882e-4e24f0790a0e,165,253.43,263.83,-10.41,-4.11
RouteID_0ab02029-d853-4303-928b-2fb8f38b6827,173,177.71,176.7,1.02,0.57
RouteID_0abc266a-ae67-4d85-b3d6-7bfd1adcaeb3,100,152.8,157.8,-4.99,-3.27
RouteID_0ad088a2-492e-41a9-a79b-751d4adb05d4,184,293.79,304.64,-10.84,-3.69
RouteID_0ad2ef29-c940-4e42-b6f7-245d71252a7c,152,177.89,180.26,-2.37,-1.34
RouteID_0ae06a5d-815d-40a9-82a1-3716ca60be21,160,233.47,250.51,-17.04,-7.3
RouteID_0ae21c35-5e33-4c25-92bc-61eae9c30b7b,168,199.38,221.25,-21.87,-10.97
RouteID_0ae40c8b-c169-473f-930e-91c73ac13374,173,187.34,184.27,3.07,1.64
RouteID_0ae91b91-4598-458a-ada2-53243610ef82,169,207.98,257.33,-49.35,-23.73
RouteID_0aeaa5cd-2c8a-41c8-acf6-483a45548e12,108,150.26,150.66,-0.4,-0.27
RouteID_0aebdf93-4e40-4a01-8bd7-5701160a38e3,183,218.37,226.63,-8.25,-3.78
